epoch_start,pool,token_id,voter,final_weight,voted_weight,abstained_weight,n_voted,n_abstained,last_event_ts
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,2991,0x064e9ea8eeb3ea9a0e68b397db271fb7ac525e33,2109.277432,2109.277432,0.0,1,0,1727901649
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,3066,0x9e59edf20d62acbc689d5e72b8f72fedd7a3d282,3388.105696,3388.105696,0.0,1,0,1727903531
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,7121,0x011b0a055e02425461a1ae95b30f483c4ff05be7,16656.83314,16656.83314,0.0,1,0,1727908937
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,8478,0xf265702178a66b4b7ce079fc8a1629e47cf1bcde,45839.540906,45839.540906,0.0,1,0,1727903903
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,10352,0x18acc7e09e5b4adaf4d51dce21bc2ac616ea9440,1874.133387,1874.133387,0.0,1,0,1727908783
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,23755,0xc81406b0aa2f73b763b71163a6472950eb65ac96,3.370089,3.370089,0.0,1,0,1727902635
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,23916,0xcac0eb798903ffe73ab1776da3174e6e40e721c6,82.671837,82.671837,0.0,1,0,1727901599
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,24127,0x588be069eae3726435a5ecdf81cdb814c1609a13,0.0,0.0,190.341502,0,1,1727856115
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,25281,0xceb25e3c3577c231fa2e9cfcb20860d898c807b3,3425.50963,3425.50963,0.0,1,0,1727903199
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,25303,0x16760803046ffa4d05878333b0953bbddc0c20cb,30409.581657,30409.581657,29678.466922,1,1,1727888227
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,25864,0x458fa5c80f899c6dde9a2e196a8325ca0bbfff77,4179.30695,4179.30695,0.0,1,0,1727901855
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,25873,0xc81406b0aa2f73b763b71163a6472950eb65ac96,3.25676,3.25676,0.0,1,0,1727902665
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,29360,0xd66fa7a53803e34fad9a0ecbd52111e93d0b3542,3.387064,3.387064,0.0,1,0,1727902573
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,31929,0x580cf96008598d6203be06ce926aef038e19e473,0.0,0.0,2528.749682,0,1,1727686847
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,32665,0x011b0a055e02425461a1ae95b30f483c4ff05be7,7924.619262,7924.619262,0.0,1,0,1727908957
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,32749,0x16760803046ffa4d05878333b0953bbddc0c20cb,3271.699943,3271.699943,3271.699943,1,1,1727888017
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,33058,0x010b23b2f2a5f6bc4ce0c68a5f65c248c1129831,0.0,0.0,26354.086834,0,1,1727333901
2024-09-26,0x03ff264046b085450649a993cdd65dcdd01a893e,37686,0x010b23b2f2a5f6bc4ce0c68a5f65c248c1129831,0.0,0.0,1801.863137,0,1,1727845515
2024-09-26,0x04c7d6172aef0ff6fa09d21eb929a45a41c8c13e,37740,0xe2796eef9601daa61124e63914d3af62c16a33ee,0.0,0.0,2.20725,0,1,1727909929
2024-09-26,0x04c7d6172aef0ff6fa09d21eb929a45a41c8c13e,39584,0xe2796eef9601daa61124e63914d3af62c16a33ee,0.0,0.0,1.000377,0,1,1727910543
2024-09-26,0x04c7d6172aef0ff6fa09d21eb929a45a41c8c13e,39811,0x993cb8be355aeb0a3eb50686b00ffcaf3b90de02,12.309568,12.309568,0.0,1,0,1727472965
2024-09-26,0x04c7d6172aef0ff6fa09d21eb929a45a41c8c13e,40191,0x993cb8be355aeb0a3eb50686b00ffcaf3b90de02,1.897023,1.897023,0.0,1,0,1727891403
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,40,0xce52c2e8e54cc717d1b35ac730406141ddccb47d,18921.077412,18921.077412,0.0,1,0,1727791671
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,56,0x48a5a6a01ba89cddf97d2d552923d5a11401ed19,1860128.404828,1860128.404828,0.0,1,0,1727880839
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,112,0x5c965d2f24e8fc49146575b039fbda4033d3cf94,717790.763377,717790.763377,0.0,1,0,1727884597
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,114,0x7455b2b0fa3e38051cc1744b7f4a49d34a7c824c,126055.530272,126055.530272,0.0,1,0,1727878139
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,138,0x53e0b897eae600b2f6855fce4a42482e9229d2c2,294341.09543,294341.09543,0.0,1,0,1727863001
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,185,0x5952bab55191f8a815ccd8ba4945f7a09ef5def7,440782.203687,440782.203687,0.0,1,0,1727884499
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,230,0x961870e8aa20dd1a6a5833d0854a6a5c4ad77ec0,170255.098848,170255.098848,0.0,1,0,1727771609
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,273,0xb385222c461dd7df0526ed22568b81984f6e5f02,13274.304078,13274.304078,0.0,1,0,1727849551
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,285,0xe8788a8926dac3d25c591caa64d5296044c1446d,25059.916877,25059.916877,0.0,1,0,1727818197
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,303,0xab12253171a0d73df64b115cd43fe0a32feb9daa,4910.606647,4910.606647,0.0,1,0,1727883537
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,304,0xbbb33d2e7bd7ddc722e53da9ca8ee97df41cfabf,57310.798989,57310.798989,0.0,1,0,1727843001
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,308,0xbf891e7efcc98a8239385d3172ba10ad593c7886,111731.749451,111731.749451,0.0,1,0,1727857141
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,329,0xac46dac5c58bf33a216a0b756bfb9b3d86407f97,100711.179435,100711.179435,0.0,1,0,1727879691
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,405,0x2f707265e61300e8290c18e38ebcbd129fb0b0f5,65179.647551,65179.647551,0.0,1,0,1727878165
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,449,0xf6657bbcfeb5c2746e8c609e35018a5a8caa13fb,9620.875089,9620.875089,0.0,1,0,1727857613
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,452,0x21484a41b00c014c4ad5c92bbb7661fd7c1c9a2b,5606.600037,5606.600037,0.0,1,0,1727874415
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,515,0x4564d6d107a19d3ab3d734a7bae61eb63dc3d30f,12379.206542,12379.206542,0.0,1,0,1727826721
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,536,0xf6ed81d5e9f61dd1ea21e96ae1d660ecc388ae4f,8739.588122,8739.588122,0.0,1,0,1727868567
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,543,0x6613a1521394c2f17c7d705e48279e44c2a01936,9509.871896,9509.871896,0.0,1,0,1727826847
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,556,0x8a48dcaffdf71c547cd0fd0434ae40fa57bcbf0f,4001.20315,4001.20315,0.0,1,0,1727883031
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,586,0xd83410edf02ee6c9f801fc81fdc89f712f84a81e,40684.620916,40684.620916,0.0,1,0,1727858647
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,608,0xc45d05cdc809d20c7b14959e8cd4a1199e3e966f,13372.397975,13372.397975,0.0,1,0,1727796721
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,612,0xb7db1273e05bb89c9c4858d3b0a280cf9dd38d69,9453.891724,9453.891724,0.0,1,0,1727800447
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,626,0x793a4cd73fef2561c7762dc53eb89c68c30210a9,19371.209971,19371.209971,0.0,1,0,1727843287
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,690,0x3c04ec0d34f8c074644a792ce04366ab789d3eb3,30754.565866,30754.565866,0.0,1,0,1727788809
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,701,0xacd97a24977afa76d74c6ed7f363f6e4366f74bb,2464.705845,2464.705845,0.0,1,0,1727890459
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,729,0x7372ff47026ec4c49ef99b4891b42e2d7bec4d1a,3981.370891,3981.370891,0.0,1,0,1727879423
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,754,0x4d3869e2451d28bb4f03aeda60322eaf01e912db,34380.347217,34380.347217,0.0,1,0,1727794653
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,798,0x6a018ad51de844243ce7fb743c3e5f4481df6858,4756.940766,4756.940766,0.0,1,0,1727861179
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,887,0x50fa50fa2032d85eb2dda303929bf56886aa9afb,1098.961393,1098.961393,0.0,1,0,1727845335
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,900,0x0899a0b74ebab3f637b59dbf90883e6df481fe00,20517.434184,20517.434184,0.0,1,0,1727846195
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,902,0x186b12ceaf08fde22e32647fcc800e45876f5bd0,3793.02328,3793.02328,0.0,1,0,1727873331
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,926,0x256e2248abb150e5cf0860235e153d0b21b02b25,14733.217057,14733.217057,0.0,1,0,1727883027
