snapshot_utc,source,dex,pool_name,pool_address,created_at,fee_tier_pct,tvl_usd,volume_usd_1h,volume_usd_6h,volume_usd_24h,est_fees_24h_usd,trades_24h,vol24_to_tvl,price_change_1h_pct,price_change_24h_pct
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,VVV / WETH 0.3%,0x46d398a5b33709877f50c8918a7ee96f1be1d7dd,2025-01-27T17:50:32Z,0.3,209827.17,3112.06,42299.43,69849.63,209.55,278,0.3329,-0.438,-6.422
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,XSGD / USDC 0.01%,0x892a6ab3fa0f1f839fcb0ae264a8c4bbfb030725,2025-09-27T03:21:41Z,0.01,444345.56,3585.0,19104.97,69359.41,6.94,506,0.1561,-0.614,-0.239
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,cbLTC / cbBTC 0.25%,0x6044c817e55a03dadc5f6b8b7045af1985ae90fa,2025-06-25T19:52:11Z,0.25,180357.79,10.54,15728.09,67342.2,168.36,211,0.3734,0.65,2.159
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,XSGD / WETH 0.05%,0xfebeebaa6c9585fd97aa9157e3b7aace804b688c,2025-10-08T23:29:27Z,0.05,192156.08,5221.98,28473.61,61907.27,30.95,869,0.3222,0.021,0.12
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,KTA / WETH 0.3%,0x46d710c35bdfb800a18a820712310048ef8b5256,2025-03-06T01:17:58Z,0.3,75133.67,2828.53,11461.8,59646.12,178.94,433,0.7939,0.12,0.438
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,FAI / WETH 0.3%,0x28a9ec9928a689410e82e579fd9418fbbf6452f3,2024-12-15T19:08:40Z,0.3,11232.76,888.15,8376.27,58159.66,174.48,700,5.1777,1.9,-5.437
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,B3 / WETH 0.05%,0xb099c658e784b41ee435d48a8eb67e8f27285c93,2025-02-10T14:28:13Z,0.05,466326.67,5862.79,19167.15,56327.55,28.16,409,0.1208,0.455,-0.721
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,USDC / USDbC 0.01%,0x98c7a2338336d2d354663246f64676009c7bda97,2024-05-06T05:07:53Z,0.01,154477.43,10627.42,13475.29,48756.43,4.88,272,0.3156,0.671,-0.01
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,eUSD / USDC 0.01%,0x988702fe529a3461ec7fd09eea3f962856709fd9,2024-06-05T00:02:35Z,0.01,623207.31,700.95,919.61,48661.76,4.87,48,0.0781,-0.035,-0.507
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,ZEN / cbBTC 0.25%,0x47f9e291bb766fc307ad7bba4f29f3eab6a97101,2025-07-23T13:35:47Z,0.25,1090680.26,4094.19,11448.83,47870.16,119.68,374,0.0439,0.268,0.917
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,COOKIE / WETH 0.3%,0xe8833415bd6aee9c0c7b6aad7dc80421c3f28ca1,2024-12-31T15:03:17Z,0.3,50538.7,3209.48,25405.49,47767.59,143.3,590,0.9452,0.112,6.82
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,KAITO / WETH 0.05%,0x56b92e5b391dbfb8b8028ac95a4b97f52ffeb416,2025-02-20T22:03:01Z,0.05,15061.89,1330.13,10996.55,46706.97,23.35,1687,3.101,0.562,4.505
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,AERO / wstETH 1%,0x565aecf84b5d30a6e79a5cef3f0da0fc4280debc,2024-05-06T05:14:53Z,1.0,462321.67,0.04,0.13,46524.34,465.24,144,0.1006,0.0,3.157
