pool_address,pool_name,votes,vote_share,fees_usd,fee_share,ratio,excess_usd,bribes_usd,emissions_day,vol24_usd,tvl_usd,est_trading_fees_24h,vote_delta,vote_delta_pct,unpriced
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,PROS / USDC 0.01%,130925.1425,0.00013054139241413902,0.0,0.0,0.0,-45.52,0.0,77.48,575564.13,682481.27,57.56,0.0,0.0,"{""USDC"": 59.163508, ""PROS"": 138.377012}"
0xb828dc3d77360f053f1379cd8676bac6141684f3,OPG / USDC 0.022%,941302.6521,0.0009385436329638203,0.0,0.0,0.0,-327.29,0.0,556.72,22295.64,10503.88,4.91,0.0,0.0,"{""USDC"": 414.053148, ""OPG"": 5210.679159}"
0xcdbe19a6ef1b633be744920c93ee40521d5cf2a6,AERO / cbBTC 0.032%,10359901.7085,0.010329536164539271,0.0,0.0,0.0,-3602.13,0.0,6121.61,353391.66,527080.93,113.09,0.0,0.0,"{""AERO"": 8229.339827, ""cbBTC"": 0.052973}"
0x82312ae1bbf1864ce00dfceb974a10e0d6245b48,MXNB / USDC,917875.6451,0.0009151852920410615,0.0,0.0,0.0,-319.14,0.0,542.87,102.97,215942.88,0.0,0.0,0.0,"{""USDC"": 141.06705, ""MXNB"": 166.983854}"
0xf8593b97ae3ddf084da845cf7ddf591e3d52106d,VVV / USDC,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,354.3,911.55,0.0,0.0,,
0xf023ea2da2321dab1fb640dbc9abcdd1b0933a8c,CTR / USDC,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15038.79,257642.32,0.0,0.0,,
0x9cb312de396e90fa51850452718bd7138da2bdcf,AAA / USDC,42398.9888,4.227471461337905e-05,0.0,0.0,0.0,-14.74,0.0,25.08,2032.3,38860.09,0.0,0.0,0.0,"{""USDC"": 4.647103, ""AAA"": 378.072909}"
0x7ae311b9cb94635dd4de5f42220469f6f5501d54,deSPXA / USDC 0.027%,105159.707,0.00010485147707700895,0.0,0.0,0.0,-36.56,0.0,62.2,5675.99,8317.81,1.53,0.0,0.0,"{""USDC"": 18.155014, ""deSPXA"": 0.009838}"
0xabe1f289107c20081f591bb3972b8289add64f6c,hTEA / USDC 0.3%,358269.4019,0.00035721929104187743,0.0,0.0,0.0,-124.57,0.0,211.89,3937.87,138617.19,11.81,0.0,0.0,"{""USDC"": 57.55909, ""hTEA"": 1157850.459781}"
0xbbc639746d66b3403812c89657176ec45c1d4276,wtSGOV / USDC,13066.1107,1.3027813081931764e-05,0.0,0.0,0.0,-4.54,0.0,7.73,107.41,5664.1,0.0,0.0,0.0,
0xab8bbce8329fd8ccc28be25a635b73ddfcaf8e91,wXCH / USDC 0.05%,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.19,0.0,0.0,,
0x94a734bf60cde88ab10a9951b17278a3ce129860,FOLKS / USDC,336016.2286,0.0003350313432363966,0.0,0.0,0.0,-116.83,0.0,244.14,31367.43,307160.04,0.0,-2751.9785000000265,-0.8123485150977223,"{""USDC"": 563.708317, ""FOLKS"": 250.86231}"
0xad34993d0d4d8073f864f3e17d4801e0d5f89023,wstETH / WETH,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0xcf5855f0b2455b6e53661dbe80927495e1cede25,0xcf5855f0...,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0x7313b413727ed86b01cce08c2e2f9e0a8462f5c0,wtSKHY / USDC,311374.4973,0.000310461838449361,0.0,0.0,0.0,-108.26,0.0,184.16,20929.2,23828.09,0.0,0.0,0.0,"{""USDC"": 101.35563, ""wtSKHY"": 0.832804}"
0xcfb8ef69c54d53bd06a503ba2f141ebe1775dc50,wtNVDA / USDC 0.05%,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0xd40fbae1291f3376f3592781d0db5a0c6b437068,wtCEG / USDC 0.05%,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0xfc67fb1dd64fe7681cd75095e618818435546a21,wtNVDA / USDC,478054.4344,0.0004766532258410922,0.0,0.0,0.0,-166.22,0.0,282.86,8500.05,6273.44,0.0,3.2752000000327826,0.0006851149583056554,"{""USDC"": 99.439613, ""wtNVDA"": 0.277232}"
0x99ccd8f1847688c913f1d789f5cf0bfdbb84d7a7,AERO / cbBTC,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,
0x8b289ed9bb4fcf49e358a2ebc5ba2cc60a296c96,QUID / USDC 0.3%,11473325.2312,0.01143969617066578,0.0,0.0,0.0,-3989.26,0.0,6785.96,119430.28,25763.39,358.29,0.0,0.0,
